sample	tax.level	method	value
XT_D07-NFlex-R1-C	genus	shannon	3.014
XT_D10-NFlex-R1-C	genus	shannon	2.622
XT_D05-NFlex-R1-C	genus	shannon	3.072
XT_D05-NFlex-R1-A	genus	shannon	3.081
XT_D05-NFlex-R1-B	genus	shannon	3.073
XT_D08-NFlex-R1-B	genus	shannon	2.619
XT_D02-NFlex-R1-B	genus	shannon	2.544
XT_D07-NFlex-R1-B	genus	shannon	3.02
XT_D09-NFlex-R1-B	genus	shannon	3.185
XT_D03-NFlex-R1-C	genus	shannon	3.149
XT_D01-NFlex-R1-A	genus	shannon	3.164
XT_D04-NFlex-R1-C	genus	shannon	3.274
XT_D10-NFlex-R1-A	genus	shannon	2.631
XT_D06-NFlex-R1-B	genus	shannon	2.633
XT_D03-NFlex-R1-B	genus	shannon	3.145
XT_D10-NFlex-R1-B	genus	shannon	2.628
XT_D09-NFlex-R1-C	genus	shannon	3.185
XT_D02-NFlex-R1-A	genus	shannon	2.542
XT_D09-NFlex-R1-A	genus	shannon	3.183
XT_D04-NFlex-R1-B	genus	shannon	3.278
XT_D08-NFlex-R1-A	genus	shannon	2.613
XT_D06-NFlex-R1-C	genus	shannon	2.623
XT_D02-NFlex-R1-C	genus	shannon	2.542
XT_D01-NFlex-R1-C	genus	shannon	3.166
XT_D07-NFlex-R1-A	genus	shannon	3.009
XT_D03-NFlex-R1-A	genus	shannon	3.15
XT_D01-NFlex-R1-B	genus	shannon	3.163
Flex_D10-NF-R1	genus	shannon	2.762
Flex_D07-NF-R1	genus	shannon	3.146
Flex_D08-NF-R1	genus	shannon	2.755
Flex_D05-NF-R1	genus	shannon	3.178
Flex_D02-NF-R1	genus	shannon	2.668
Flex_D03-NF-R1	genus	shannon	3.216
Flex_D09-NF-R1	genus	shannon	3.24
Flex_D01-NF-R1	genus	shannon	3.237
Flex_D06-NF-R1	genus	shannon	2.788
Flex_D04-NF-R1	genus	shannon	3.379
XT_D04-NFlex-R1-A	genus	simpson	0.936
XT_D06-NFlex-R1-A	genus	simpson	0.854
XT_D08-NFlex-R1-C	genus	simpson	0.829
XT_D07-NFlex-R1-C	genus	simpson	0.911
XT_D10-NFlex-R1-C	genus	simpson	0.805
XT_D05-NFlex-R1-C	genus	simpson	0.889
XT_D05-NFlex-R1-A	genus	simpson	0.891
XT_D05-NFlex-R1-B	genus	simpson	0.889
XT_D08-NFlex-R1-B	genus	simpson	0.829
XT_D02-NFlex-R1-B	genus	simpson	0.785
XT_D07-NFlex-R1-B	genus	simpson	0.912
XT_D09-NFlex-R1-B	genus	simpson	0.913
XT_D03-NFlex-R1-C	genus	simpson	0.927
XT_D01-NFlex-R1-A	genus	simpson	0.928
XT_D04-NFlex-R1-C	genus	simpson	0.936
XT_D10-NFlex-R1-A	genus	simpson	0.807
XT_D06-NFlex-R1-B	genus	simpson	0.857
XT_D03-NFlex-R1-B	genus	simpson	0.927
XT_D10-NFlex-R1-B	genus	simpson	0.807
XT_D09-NFlex-R1-C	genus	simpson	0.913
XT_D02-NFlex-R1-A	genus	simpson	0.784
XT_D09-NFlex-R1-A	genus	simpson	0.914
XT_D04-NFlex-R1-B	genus	simpson	0.936
XT_D08-NFlex-R1-A	genus	simpson	0.827
XT_D06-NFlex-R1-C	genus	simpson	0.856
XT_D02-NFlex-R1-C	genus	simpson	0.784
XT_D01-NFlex-R1-C	genus	simpson	0.928
XT_D07-NFlex-R1-A	genus	simpson	0.91
XT_D03-NFlex-R1-A	genus	simpson	0.927
XT_D01-NFlex-R1-B	genus	simpson	0.927
Flex_D10-NF-R1	genus	simpson	0.851
Flex_D07-NF-R1	genus	simpson	0.928
Flex_D08-NF-R1	genus	simpson	0.857
Flex_D05-NF-R1	genus	simpson	0.905
Flex_D02-NF-R1	genus	simpson	0.811
Flex_D03-NF-R1	genus	simpson	0.936
Flex_D09-NF-R1	genus	simpson	0.923
Flex_D01-NF-R1	genus	simpson	0.933
Flex_D06-NF-R1	genus	simpson	0.888
