uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia restricta	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Azospirillum sp. 51_20	Sutterella wadsworthensis	Sutterella sp. AM18-8-1	Sutterella sp. AF15-45LB	Proteobacteria bacterium CAG:139	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Staphylococcus aureus	Lactobacillus fermentum	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. L2-50	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. OM08-29	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia hominis	Roseburia faecis	Roseburia inulinivorans	uncultured Roseburia sp.	Roseburia sp. CAG:45	Roseburia intestinalis CAG:13	Roseburia sp.	Roseburia sp. AM16-25	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	uncultured Coprococcus sp.	Coprococcus sp.	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	[Ruminococcus] gnavus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Ruthenibacterium lactatiformans	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Intestinimonas massiliensis	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium sp. CAG:207	Megasphaera massiliensis	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Collinsella sp. AM10-26	Parolsenella catena	Eggerthella lenta	Enterorhabdus caecimuris	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides finegoldii CAG:203	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. HMSC068A09	Bacteroides sp. AF14-46	Bacteroides sp. AF15-23LB	Bacteroides sp. AF16-29	Bacteroides sp. AF36-11BH	Bacteroides sp. AF37-16AC	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroides sp. AM44-19	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 56_sp_Nov_56_25	Alistipes sp. AF14-19	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D01-ZF-R2	4.122	-2.9503	-3.862	-5.7464	9.1293	-1.0684	-1.8716	-0.296	-0.2929	-8.2129	-5.4349	-11.2326	-11.1598	5.237	3.5792	-0.3522	2.5271	-4.6203	2.6535	4.2187	5.4909	5.127	3.9136	-3.7098	0.4733	-6.4372	-4.2958	4.2799	-5.7403	-2.8114	5.4128	-11.4856	-6.0195	1.0431	-3.2686	-6.6305	4.1281	-2.2186	-2.0147	5.9099	5.7292	4.4958	2.2192	3.84	4.4202	0.3495	-2.777	4.0158	2.6695	-1.8548	-1.2175	1.3664	2.9535	3.2778	-4.1104	-2.4983	-4.1916	2.022	4.9313	2.576	2.9808	-2.8573	2.1659	1.4959	3.3524	-8.1351	-6.0543	3.273	4.5415	-2.2065	2.5409	-3.5293	-3.1168	3.8123	-4.5044	7.2258	5.4232	5.0009	0.8884	4.0337	5.6628	4.8342	9.3325	3.9636	4.4759	4.1034	-0.6412	6.9403	2.2449	-2.2254	7.9523	-5.0308	2.9058	1.0873	2.0115	-0.0561	8.4116	1.0859	-3.0854	-1.3043	6.9096	1.5003	-0.6632	-0.6494	0.2431	5.9083	-11.1637	-11.296	-6.1449	-11.197	-2.3186	-2.1039	-2.3629	-5.7992	-5.5	-8.3141	2.0733	0.666	-2.664	-5.1531	-4.9803	-2.929	-5.325	-11.3894	-4.9169	1.9811	2.2057	3.7756	1.6312	4.8284	2.9729	1.225	0.3136	6.2395	1.548	6.8386	-3.5587	6.8126	-3.3795	6.6264	3.5244	8.372	-0.6404	-3.1843	2.7973	-4.3445	-2.7343	1.5775	-10.3103	-11.319	-11.2534	-9.2266	-11.3741	3.3701	-8.6225	-11.3631	-4.1122	-8.7743	3.231	11.5235	3.4025	10.7414	2.3521	3.3286	2.257	2.5413	7.5592	8.4091	2.596	-0.5782	-0.2063	9.0494	1.4968	7.3268	-1.5673	-8.1925	-2.461	-6.0497	0.5082	-2.37	6.9374	-3.4433	-0.0937	8.309	6.4392	-0.6487
D01-ZF-R3	4.9649	-2.8034	-3.1543	-5.7835	9.4852	-0.4654	-1.4856	-1.6225	-0.4749	-10.1565	-6.0202	-11.2856	-11.3328	4.8719	3.5221	-0.5585	3.0173	-5.3728	2.4963	3.4334	5.0706	4.6443	3.7141	-5.5608	0.4891	-8.5544	-4.647	3.7446	-5.2133	-2.9717	5.219	-11.07	-5.3695	1.3712	-2.7099	-6.8059	4.3078	-2.4333	-2.5922	5.532	5.718	4.7177	2.0388	3.6002	4.084	-0.6291	-3.0741	3.8684	2.4912	-1.4704	-1.4316	1.6607	3.134	3.6812	-4.4608	-2.5092	-9.0296	2.2945	4.9963	3.0565	2.4117	-2.611	2.8197	2.0019	3.7745	-11.0027	-5.5114	2.9195	4.3859	-2.8705	2.3279	-3.7436	-3.0451	5.1357	-4.8224	7.8536	6.1499	5.8895	2.2233	4.7812	5.9975	4.5203	9.1599	3.7672	4.352	4.0407	-0.7101	7.1868	2.0543	-2.1987	7.6765	-5.7098	2.6353	0.6605	1.8744	-0.4594	8.3557	0.9153	-3.6283	-1.8345	6.6195	0.993	-0.6071	-0.6092	0.3945	6.1911	-11.0917	-11.195	-11.2975	-11.0676	-3.5281	-2.1786	-2.0524	-6.3036	-6.0784	-9.0376	0.8916	0.2474	-3.1219	-5.908	-5.8939	-3.7645	-5.6534	-11.225	-5.0123	1.6591	1.9741	3.218	1.9543	5.4275	3.7177	1.6556	0.74	6.773	1.1752	7.5482	-2.9051	7.4439	-2.8976	7.2526	4.0744	8.8522	-0.1621	-3.0269	3.4324	-3.9653	-3.0747	1.965	-2.9547	-8.903	-11.4848	-9.3009	-9.6899	5.3406	-11.3556	-11.1312	-4.6171	-9.0263	3.7484	11.6804	3.514	10.9532	3.1981	3.453	4.5735	2.4092	7.6697	8.7308	5.0191	-0.1503	0.2624	9.1799	1.5228	7.6317	-1.8586	-7.8803	-2.593	-6.6787	0.4615	-2.2412	7.1894	-3.5342	0.8655	8.7003	6.8417	0.0121
D01-ZH-R1	4.4979	-6.0311	-4.4599	-5.9795	8.5607	-0.7034	-1.0449	-0.4369	0.6167	-10.2381	-5.3753	-10.1393	-10.4966	6.3195	5.6159	1.28	4.6854	-8.6618	1.4903	3.0768	3.6378	3.8685	4.022	-7.1303	0.5138	-5.1359	-1.7099	4.3562	-5.0782	-2.5098	5.7303	-9.1907	-5.3419	-1.1367	-1.3817	-5.0269	4.1044	-3.8766	-3.3168	4.7777	5.69	3.4654	2.1152	3.8156	3.4266	1.917	-7.6516	2.572	2.7943	-2.1062	-0.9845	1.6416	2.9424	3.0122	-9.3047	-8.5862	-8.594	2.396	4.5659	2.5475	3.1018	-2.1176	2.6262	2.296	4.1378	-10.3427	-6.7493	3.2999	5.2768	-3.1157	2.3181	-5.1268	-3.4229	5.5538	-9.2213	6.0904	5.8289	4.8881	1.4368	2.6909	6.3576	3.9065	10.1889	4.8548	5.2073	4.8777	-0.4936	6.4289	1.4117	-4.2449	7.5435	-6.4561	2.8918	0.7275	0.927	-0.9074	7.5774	2.62	-3.0277	-1.4105	5.0741	0.7361	-0.4966	-0.0081	1.2996	5.5208	-7.7243	-10.5285	-5.0508	-9.9622	-3.4335	-2.8934	-2.9978	-4.305	-2.2076	-7.0823	1.1994	1.3307	-3.0622	-4.8167	-6.5888	-5.2099	-8.1757	-10.1236	-5.4338	1.746	1.1898	3.2486	2.7977	6.2566	4.4253	2.4065	1.1475	7.5034	2.1711	8.0208	-3.0026	8.5015	-3.7508	7.2663	3.7382	9.4119	1.3019	-2.8423	4.2371	-2.9926	-2.1295	1.5281	-1.9863	-1.0208	-10.3421	5.6939	-9.9473	3.2948	-8.5744	-10.3061	-4.0337	-7.4709	4.0134	10.0807	1.2999	9.3723	0.479	1.7407	3.8842	0.7657	5.9515	6.8923	4.6001	-1.8252	-1.8938	8.0745	0.1434	5.8705	-2.1758	-9.9374	-2.2298	-7.4334	0.0921	-2.8486	5.8288	-3.2838	-0.1824	9.7568	5.0536	-1.4928
D01-ZH-R2	3.9915	-5.603	-4.7812	-4.8373	8.1325	2.4147	0.2648	-0.0114	2.7142	-1.9729	-1.8032	-8.7463	-7.258	6.2153	5.8631	1.2378	3.6443	-5.9136	-0.2851	2.5232	3.9441	2.6296	4.0957	-7.2237	3.0181	-4.5059	-0.0862	4.856	-4.587	-3.4714	4.5314	-8.6606	-6.6325	-0.2265	-2.6466	-7.1208	5.0293	-4.5137	-7.6309	4.097	4.9144	3.5902	2.3171	4.8387	5.8501	4.8866	-6.2829	3.0086	4.8288	-1.6752	-0.8168	1.5977	2.6709	2.847	-8.7325	-7.7744	-8.7354	3.2138	5.6731	2.3285	4.8412	-1.8577	2.6937	2.6946	4.4138	-5.8031	-6.5519	2.082	5.4253	-4.6566	1.3515	-6.1908	-4.5781	4.2268	-7.7364	4.822	6.7486	3.6003	0.9206	1.7133	6.7748	2.9764	9.2228	4.657	4.2844	4.6081	-0.9513	5.4763	0.5225	-5.7003	6.9689	-7.6214	2.5995	-0.6046	0.6913	-1.8869	7.2845	3.3637	-5.562	-5.8123	4.1113	1.2408	-1.2296	-1.3928	1.4884	4.1698	-8.6837	-7.6685	-6.7826	-8.6501	-8.8682	-4.6542	-5.6005	-3.6867	-1.238	-6.1353	-0.3883	3.2697	-5.739	-6.7248	-5.963	-6.0784	-7.1652	-8.5926	-8.4737	0.518	-0.3236	2.4204	3.3273	6.4711	4.648	3.063	1.3256	8.1036	7.2286	7.8368	-2.6817	8.5782	-5.6096	7.8723	3.8549	9.4307	1.9919	-1.5645	4.2928	-2.9795	-0.6558	1.7126	-1.6075	-7.6589	-8.8568	7.4062	-8.6702	1.8343	-7.2344	-8.7837	-3.1819	-8.7431	4.2928	9.5778	0.376	8.7255	-0.481	1.0332	3.3338	0.4071	5.6076	6.4112	4.7462	-1.7029	-1.2624	7.406	0.1497	4.4337	0.2242	-8.6351	-1.1813	-6.768	1.038	-2.9981	5.7971	-2.9898	-2.1796	10.5706	2.2876	-0.8328
D01-ZH-R3	4.4072	-6.7598	-5.4329	-7.0004	8.0634	3.4926	0.9227	1.3255	2.0962	-8.1252	-8.0757	-9.6696	-9.8318	5.6585	5.3964	1.1892	3.7278	-8.1804	1.9685	3.8229	4.8539	4.3955	5.3579	-3.3365	2.7102	-7.436	-0.9739	4.9226	-5.4099	-3.2671	6.4643	-9.725	-9.4431	-0.6496	-2.0401	-5.6746	4.1614	-3.128	-2.7165	5.1401	5.6636	3.9689	2.2135	3.5799	4.4688	2.3789	-2.5823	3.4487	2.6603	-1.6355	-1.1869	1.9534	3.5485	3.4098	-9.6423	-2.2672	-9.7545	2.4968	4.9811	2.7019	3.5515	-1.5083	2.8948	3.1117	4.334	-10.0446	-4.7234	4.1074	5.5507	-2.6751	2.7055	-4.8869	-3.4984	5.6564	-3.2229	6.6264	6.259	5.16	1.7019	3.5761	7.2654	4.6732	9.1962	4.3005	4.2223	4.0852	-0.4642	5.5435	2.0928	-3.2913	8.1885	-4.6598	3.3847	1.2055	1.772	-0.38	7.433	2.9901	-3.1176	-0.3125	5.9512	1.2889	-0.1301	0.0714	1.3308	4.2308	-9.479	-9.6275	-9.3783	-9.8212	-6.789	-2.3841	-1.6085	-6.9716	-2.9862	-4.8384	0.3976	3.5409	-3.0479	-4.3536	-6.331	-4.0883	-5.064	-9.77	-4.8074	1.8042	1.8861	4.5194	1.8214	5.2302	3.6935	1.4039	0.1951	6.659	4.7558	6.8603	-8.2506	7.5572	-3.3466	6.8614	3.5295	8.3242	0.016	-3.8291	3.4426	-4.7048	-2.6464	0.7004	-7.479	-6.9979	-9.6363	-6.5801	-9.906	2.0133	-9.6964	-9.7911	-4.1778	-9.8025	2.987	10.4546	1.7716	9.7467	0.763	2.4318	4.1035	1.1346	6.4478	7.3026	4.8347	-1.4527	-1.0675	8.1857	0.3408	5.958	-2.3465	-9.6317	-2.1601	-7.7125	-0.2418	-3.5439	5.3295	-4.3837	-1.772	8.9616	3.665	-2.2798
D01-ZR-R1	5.145	-1.0794	-2.0274	-4.4365	10.7703	-1.2344	-1.8879	-1.2456	0.8168	-10.5533	-5.2335	-11.4741	-11.6598	5.9851	5.6237	1.546	3.512	-5.3755	2.4767	3.7737	4.6786	5.069	4.3775	-5.1502	2.1319	-11.5589	-1.8737	4.6201	-4.8496	-1.9507	6.6494	-11.327	-5.0262	0.8514	-2.1146	-5.7743	4.4943	-2.3194	-2.0475	6.1687	5.9322	4.4944	2.6034	4.3476	4.6423	1.0337	-3.0322	4.4997	2.6963	-1.4822	-0.6261	3.4857	4.2746	4.6367	-4.4016	-1.4239	-3.7706	3.119	5.8208	3.8787	3.663	-1.2934	4.2029	3.7952	5.0159	-10.3888	-4.8197	3.6205	5.1812	-2.4768	2.6917	-3.5672	-2.8686	5.3902	-4.802	7.0664	6.3398	5.2865	2.0616	3.8576	7.4236	5.1983	9.806	4.3015	4.7256	4.3926	-0.6456	7.4838	2.6398	-2.6399	8.5825	-5.4545	3.5955	0.9588	2.1902	-0.0851	7.8343	3.8823	-2.8791	-0.7373	6.0466	1.5904	-0.2073	0.2059	1.2483	6.3598	-11.4742	-9.9872	-8.4338	-11.5398	-6.9846	-1.8179	-2.5848	-5.9682	-4.5914	-6.4399	2.2086	1.1755	-2.4938	-4.9016	-5.2038	-3.1255	-5.9854	-11.7432	-4.5965	3.3243	3.6159	4.7607	1.2827	4.2087	2.2843	1.1124	0.3283	5.9166	0.2538	6.4023	-4.3491	6.5805	-4.2206	8.5134	2.0503	7.4932	-1.4237	-3.6172	2.1487	-5.8507	-2.2495	0.7313	-10.6855	-11.6488	-11.3717	-8.6338	-11.4776	3.8171	-9.9619	-11.6051	-5.4869	-10.5181	4.1521	9.3712	1.0452	8.6927	-0.158	1.2045	3.4388	0.0103	5.0685	6.1505	4.3013	-1.62	-2.027	7.7327	-0.7706	5.7593	-4.2903	-10.6214	-3.544	-7.5705	0.7692	-3.1101	6.0508	-3.9143	-0.3533	9.4854	3.9295	0.5886
D01-ZR-R2	1.9343	-6.4061	-5.4543	-6.6348	8.4092	1.4904	-1.7949	-0.5707	0.7899	-2.9186	-3.3489	-9.4905	-9.7028	5.4147	4.1797	0.4958	2.6206	-3.3863	3.8252	3.7614	5.6046	6.9081	3.8359	-3.1506	1.3006	-6.9243	-1.0319	4.5716	-4.2736	-2.6688	6.5268	-9.5056	-7.5928	2.0458	-1.9264	-5.6216	4.629	-0.9156	-0.2957	7.602	6.0759	5.7241	3.8197	5.0881	4.7355	0.8379	-2.2164	5.1922	3.9416	-0.4257	-0.1751	3.4848	5.5965	5.6909	-7.9781	-6.6738	-6.3742	3.32	5.9796	4.4863	3.9061	-0.7519	4.7758	4.7921	5.1529	-6.3883	-5.3483	3.3064	4.5774	-2.3949	2.8939	-2.8719	-2.1155	4.9545	-7.2436	6.8753	6.4704	5.0698	3.276	3.6199	6.634	6.5048	10.2838	5.0214	5.5601	5.1931	0.0089	5.6891	3.9836	-1.2782	9.0658	-3.8479	3.1012	1.0855	1.6729	1.2664	8.0486	1.6121	-2.5818	-0.0733	6.9662	1.9979	-0.1317	-0.0544	0.6225	4.8004	-7.9059	-9.3337	-3.9553	-9.4824	-2.0352	-1.4976	-3.0909	-4.6463	-2.0504	-4.3272	3.2258	2.5501	-0.8511	-3.9661	-4.3211	-1.7115	-4.1358	-9.2985	-4.0276	4.1886	4.6271	5.5542	-0.6318	2.9578	0.1996	-0.515	-1.1718	4.2734	1.7703	4.9893	-7.8554	4.5722	-7.9446	5.1269	0.1826	5.8417	-2.1534	-4.6537	0.7061	-8.0787	-3.678	-0.8683	-9.606	-9.5545	-9.3756	-9.3493	-9.2658	0.4441	-9.5191	-9.351	-4.3103	-7.9788	1.5308	8.1083	-0.0632	7.2703	-2.4552	0.3027	2.0945	-0.5492	4.1303	4.9193	2.5661	-3.1954	-2.8339	5.929	-1.6925	3.6896	-0.8099	-7.5818	-2.3559	-7.4871	-0.3297	-3.9179	4.7328	-4.029	-7.3651	7.097	0.0934	-2.6776
D01-ZR-R3	2.5491	-4.7133	-5.5211	-8.0321	7.6416	0.2517	-2.1912	-1.2692	-0.035	-11.1486	-3.2017	-11.1154	-10.0373	8.9146	4.2807	0.1811	2.3794	-5.4325	2.5052	2.7349	3.9545	5.3756	4.2134	-5.3524	-1.0041	-8.7751	-4.1226	4.5126	-5.2662	-3.3333	6.0045	-11.1159	-8.5058	0.6684	-2.1057	-6.0076	3.7366	-2.1812	-2.3483	5.904	5.1846	4.4973	2.0353	3.8722	4.0352	-0.4639	-3.7947	4.0925	2.2845	-1.4407	-1.2208	2.1893	3.2485	3.88	-3.5697	-2.5941	-4.0611	2.5444	4.7398	3.1904	2.6978	-2.6171	3.1225	2.4144	3.9849	-8.6016	-5.4352	3.3232	4.7176	-3.0934	2.2566	-4.3097	-2.9795	5.6627	-5.3983	7.0877	5.9349	5.4372	1.7351	3.9536	6.8881	5.2557	9.5147	4.1375	4.5623	4.2158	-1.167	5.4348	2.904	-2.4972	8.2975	-5.3126	2.8138	0.4217	1.5741	-0.2791	7.5119	0.7374	-4.1525	-1.7887	5.4797	1.1816	-0.971	-0.7567	-0.8984	4.7991	-11.1625	-11.1521	-8.5148	-11.1653	-3.0948	-1.7661	-2.9535	-8.1316	-6.3805	-9.0916	1.483	0.7555	-2.7524	-5.9703	-5.3801	-3.2048	-5.7225	-10.8433	-4.7191	2.433	2.5158	4.1767	1.9435	5.7431	3.5305	1.3452	1.0168	6.6919	1.6286	7.6337	-3.5026	7.6952	-3.2251	6.6663	3.9131	8.8241	-0.0984	-3.301	3.6919	-3.6303	-3.0299	2.2847	-8.1303	-9.5983	-11.2203	-10.2125	-11.0113	5	-10.186	-9.9428	-4.5093	-8.4969	3.3962	11.9796	3.7943	11.1567	2.9099	3.8824	6.2	2.6737	7.9226	8.8905	6.6307	-0.2445	0.3788	9.3298	1.7109	7.5859	-1.8348	-7.5161	-2.5182	-7.0752	0.1743	-1.8912	7.6868	-3.6438	-0.3868	7.8136	6.0599	-1.3795
D02-NF-R1	5.5522	4.5712	-1.031	6.7476	-6.3456	-1.3802	1.5586	-1.3891	-1.0901	-9.4935	-6.6824	-11.312	-11.4482	3.6035	3.9711	0.9995	-1.957	-6.3112	-3.388	0.03	4.71	5.625	3.7313	-5.3528	-0.6488	-4.0653	-2.7863	6.2512	-4.926	-1.0625	-4.1343	2.1621	-4.492	2.5131	3.2154	3.8417	4.2043	3.6673	-1.7123	1.99	6.4611	6.5336	3.8805	4.8368	3.5442	-1.0023	-5.0821	3.3014	4.6537	-3.4492	-1.7412	2.9175	2.6872	0.9265	-0.6781	-9.2344	-10.5243	1.4759	6.5882	0.3325	3.8023	2.0674	2.882	2.8861	2.6226	-5.9005	-9.9327	3.8616	5.1354	-0.4128	6.856	6.6089	6.7295	-1.9891	7.0096	-1.478	6.2195	3.6442	-0.0712	-4.7684	-4.1556	6.6568	9.0992	2.9685	2.1735	1.9299	3.1271	-6.0742	3.6588	-2.821	7.5593	-5.9346	3.3212	-0.2147	-0.204	2.9087	10.0423	0.9706	-4.8644	-1.9112	6.2528	-1.5897	0.2762	-0.4499	-0.7048	-5.8697	-8.4842	-8.3655	-5.6333	2.6832	-11.4212	1.9443	3.7317	-6.521	-4.1105	-6.542	-2.647	0.2275	-0.0063	1.9143	-5.387	-5.7364	-5.0704	-11.3459	-6.2902	3.0197	2.9552	-1.9742	3.2535	5.3873	4.6803	5.5928	0.1582	6.1375	8.098	5.123	-2.6642	5.5497	3.1906	3.9938	5.9062	2.5234	1.6286	-1.0721	4.0052	5.8493	-2.3488	4.1181	1.829	3.6906	-11.4972	-11.0951	-11.6452	-8.4906	-11.3835	0.1763	-2.5338	-9.9692	1.9903	-0.2993	4.5373	2.3479	5.4948	-0.4488	-6.4767	5.3651	-0.0011	1.8708	-1.5753	4.853	5.0187	-1.2847	-2.92	3.0016	0.1105	-9.1359	-2.4104	-5.7081	-1.5441	-5.0466	3.1135	5.2071	-5.6218	5.5677	4.6931	-2.1189
D02-NF-R2	5.1639	4.15	-1.8012	6.3058	-2.2147	2.1129	2.5823	-0.1269	0.7312	-4.3247	-2.7974	-9.0523	-9.2354	4.5149	4.5584	1.5923	-3.8086	-5.3711	-3.0048	-0.118	4.6153	6.2442	3.8874	-4.3723	0.9604	-6.9418	-1.2655	6.2008	-4.1822	-0.4543	-4.9373	2.0847	-3.1018	2.8128	3.2363	4.2696	4.2088	4.2761	-0.8234	2.6181	5.9549	6.0742	3.6325	4.6032	3.8977	-0.7491	-7.4857	2.7598	4.2878	-3.1993	-0.9198	3.6561	3.5844	1.5881	0.3461	-6.5865	-7.1807	1.6053	6.7268	1.0759	3.8978	2.8246	3.5638	3.6401	3.26	-9.0435	-6.2065	4.1983	5.0944	-0.6985	6.5281	5.7132	5.8936	-2.7607	7.3346	-6.6915	6.6531	4.2744	0.4207	-8.1108	-9.1526	7.0975	9.1547	2.7485	2.1586	1.8361	3.3049	-7.3141	3.711	-1.9723	7.6294	-5.1776	3.1474	-0.3039	0.1099	3.1332	10.0538	0.7042	-4.3354	-1.9436	6.2026	-1.5744	0.2897	-0.4077	-0.8098	-7.2346	-9.2181	-9.1032	-6.1758	3.775	-7.6628	1.8256	4.0726	-8.2865	-2.8303	-4.7867	-2.747	3.0019	0.6657	2.4149	-5.7053	-5.202	-4.3701	-9.3056	-6.1586	3.1901	2.9421	-1.3117	2.9626	4.1704	3.7216	5.3129	-0.1607	5.3195	7.6541	4.2401	-6.0059	4.5731	2.7149	2.6741	5.9099	2.0171	1.0825	-1.5584	2.7283	5.4669	-1.9391	3.813	-0.0408	3.141	-9.2467	-9.1646	-9.0683	-9.3327	-9.0999	0.4315	-5.9502	-8.9351	1.0231	-1.2491	3.1543	1.5058	4.5137	-1.2722	-9.009	4.0447	-1.0974	0.7902	-2.3168	4.0378	4.1506	-6.1711	-3.4282	2.0575	-1.5997	-8.2535	-2.9615	-6.3612	-1.742	-4.7314	2.3648	5.4909	-9.0604	5.1418	3.6887	-2.8704
D02-NF-R3	5.0103	2.882	-1.0386	6.4448	-5.0358	2.8544	1.4716	0.8058	0.7223	-8.5289	-8.2999	-11.0718	-10.9163	3.8697	5.0025	1.8638	-2.8029	-9.1998	-3.3871	0.5901	5.1924	5.7969	4.5829	-3.9852	0.7833	-2.9945	-1.3916	6.5637	-4.5505	-1.0195	-6.2112	1.8548	-4.1879	1.3837	2.4161	2.9192	3.7821	3.6718	-1.5133	2.0861	6.9157	5.9218	3.5322	3.802	3.749	-1.1622	-4.3465	2.4105	4.2601	-4.1943	-2.1173	2.8923	2.3626	-0.1407	-1.0162	-8.0661	-8.5426	0.241	6.2602	0.0312	3.5505	1.4046	2.5537	2.8637	2.6324	-10.8857	-7.9791	4.5451	5.7454	0.3111	7.3437	6.9943	7.1931	-3.0296	6.8911	-4.5767	6.2142	3.6369	-0.0396	-4.6701	-10.9343	6.8004	9.3384	2.9907	2.275	2.126	3.3048	-5.9719	3.5975	-3.1674	7.6864	-6.192	3.7071	-0.5887	0.1157	2.8257	10.5172	1.087	-4.468	-1.4125	6.6896	-1.2507	0.7314	-0.1283	-0.841	-5.8863	-9.6168	-9.1347	-5.6735	3.4189	-8.7692	2.2297	3.9962	-6.1542	-3.9882	-6.5489	-4.0334	2.8615	0.3937	2.6989	-4.5904	-4.8333	-4.4956	-10.8334	-5.9837	3.7359	3.478	-1.7053	3.2403	5.583	4.769	6.0145	0.1454	6.556	7.6615	5.3565	-2.6415	5.6605	2.7679	4.0947	6.339	3.0175	1.3651	-1.4403	3.9531	5.573	-2.1895	3.8672	1.8587	3.2866	-11.0684	-11.1038	-10.938	-8.8332	-11.2608	0.6585	-3.3468	-10.9316	1.464	-0.3731	4.3777	2.3033	5.5219	-0.4333	-8.7357	5.2381	0.517	2.0149	-1.6317	4.9786	5.0708	-3.2449	-2.9963	3.0859	-3.7603	-8.0275	-2.8806	-6.0603	-1.2743	-5.0769	3.2959	5.6773	-5.4679	5.8862	5.0055	-1.7994
