sample	tax.level	method	value
Flex_D06-NF-R1	species	shannon	4.125
Flex_D04-NF-R1	species	shannon	4.808
XT_D04-NFlex-R1-A	species	simpson	0.973
XT_D06-NFlex-R1-A	species	simpson	0.928
XT_D08-NFlex-R1-C	species	simpson	0.945
XT_D07-NFlex-R1-C	species	simpson	0.951
XT_D10-NFlex-R1-C	species	simpson	0.983
XT_D05-NFlex-R1-C	species	simpson	0.972
XT_D05-NFlex-R1-A	species	simpson	0.971
XT_D05-NFlex-R1-B	species	simpson	0.971
XT_D08-NFlex-R1-B	species	simpson	0.945
XT_D02-NFlex-R1-B	species	simpson	0.963
XT_D07-NFlex-R1-B	species	simpson	0.952
