feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: unclassified Erysipelotrichaceae,OF,0.0004474,0.00017876,0.001119753
Firmicutes: unclassified Erysipelotrichaceae,OR,0.000445485,0.000191347,0.001037159
Firmicutes: unclassified Erysipelotrichaceae,OH,0.000414501,0.000200727,0.000855945
Firmicutes: unclassified Erysipelotrichaceae,ZF,0.000463771,0.000195964,0.001097564
Firmicutes: unclassified Erysipelotrichaceae,ZR,0.000416329,0.000190908,0.000907924
Firmicutes: unclassified Erysipelotrichaceae,ZH,0.000412559,0.000181336,0.000938617
Firmicutes: Fusicatenibacter,NF,0.001328911,0.00072985,0.00241968
Firmicutes: Fusicatenibacter,OF,0.001065087,0.000570476,0.001988535
Firmicutes: Fusicatenibacter,OR,0.000840959,0.000483206,0.001463585
Firmicutes: Fusicatenibacter,OH,0.000698857,0.0004219,0.001157624
Firmicutes: Fusicatenibacter,ZF,0.001359367,0.000748863,0.002467579
Firmicutes: Fusicatenibacter,ZR,0.001039199,0.000548953,0.001967263
Firmicutes: Fusicatenibacter,ZH,0.000788981,0.000404643,0.001538373
Firmicutes: Megasphaera,NF,3.51E-05,8.45E-06,0.00014596
Firmicutes: Megasphaera,OF,2.69E-05,6.82E-06,0.000106019
Firmicutes: Megasphaera,OR,2.50E-05,6.97E-06,8.94E-05
Firmicutes: Megasphaera,OH,2.54E-05,7.39E-06,8.73E-05
Firmicutes: Megasphaera,ZF,3.57E-05,8.96E-06,0.000142062
Firmicutes: Megasphaera,ZR,3.46E-05,8.65E-06,0.000138821
Firmicutes: Megasphaera,ZH,3.70E-05,9.83E-06,0.000139047
Firmicutes: unclassified Clostridia,NF,0.000293447,0.000118665,0.000725664
Firmicutes: unclassified Clostridia,OF,0.00022532,8.42E-05,0.000603037
Firmicutes: unclassified Clostridia,OR,0.000261637,9.79E-05,0.000699202
Firmicutes: unclassified Clostridia,OH,0.000286585,0.000114386,0.000718016
Firmicutes: unclassified Clostridia,ZF,0.000281902,0.000108472,0.000732621
Firmicutes: unclassified Clostridia,ZR,0.000290959,0.000114868,0.000736994
